#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
54931.49998842592,-7.145086977692144,-7.209714835966758,-7.235823867609669,-7.17,0.04,2.69,7.62,3.12,5.23,2.47
54938.49998842592,-7.142667503568732,-7.145086977692144,-7.209714835966758,-7.17,0.04,5.39,2.69,7.62,5.13,2.32
55232.49998842592,-7.2076083105017466,-7.142667503568732,-7.145086977692144,-7.12,0.11,7.31,5.39,2.69,5.97,1.16
55358.49998842592,-7.000869458712629,-7.2076083105017466,-7.142667503568732,-7.08,0.11,5.21,7.31,5.39,5.21,2.1
55463.49998842592,-7.042392712939905,-7.000869458712629,-7.2076083105017466,-7.05,0.05,3.12,5.21,7.31,4.15,1.05
55505.49998842592,-7.095284454721319,-7.042392712939905,-7.000869458712629,-7.04,0.06,4.13,3.12,5.21,3.77,0.56
55554.49998842592,-6.978810700930062,-7.095284454721319,-7.042392712939905,-7.02,0.06,4.06,4.13,3.12,3.61,0.84
55582.49998842592,-7.0,-6.978810700930062,-7.095284454721319,-7.07,0.14,2.65,4.06,4.13,5.53,3.84
55792.49998842592,-7.22548303427145,-7.0,-6.978810700930062,-7.14,0.12,9.89,2.65,4.06,6.58,3.66
55799.49998842592,-7.197226274708024,-7.22548303427145,-7.0,-7.22,0.03,7.19,9.89,2.65,6.87,3.19
55890.49998842592,-7.250263684430939,-7.197226274708024,-7.22548303427145,-7.19,0.07,3.54,7.19,9.89,6.91,3.24
56044.49998842592,-7.107905397309519,-7.250263684430939,-7.197226274708024,-7.07,0.19,10.0,3.54,7.19,5.78,3.65
56268.499976851854,-6.866461091629782,-7.107905397309519,-7.250263684430939,-7.07,0.18,3.81,10.0,3.54,7.9,3.55
56457.499976851854,-7.221125527997261,-6.866461091629782,-7.107905397309519,-7.0,0.19,9.9,3.81,10.0,5.63,3.71
56905.499976851854,-6.924453038607469,-7.221125527997261,-6.866461091629782,-7.06,0.15,3.17,9.9,3.81,5.69,3.67
56968.499976851854,-7.027334407733889,-6.924453038607469,-7.221125527997261,-7.04,0.12,4.0,3.17,9.9,3.95,0.76
57122.499976851854,-7.168770306132937,-7.027334407733889,-6.924453038607469,-7.11,0.08,4.68,4.0,3.17,3.85,0.91
57150.499976851854,-7.142064735280571,-7.168770306132937,-7.027334407733889,-7.16,0.01,2.87,4.68,4.0,5.84,3.69
57493.49996527778,-7.161150909262744,-7.142064735280571,-7.168770306132937,-7.14,0.02,9.97,2.87,4.68,5.08,4.24
57500.49996527778,-7.11975822410452,-7.161150909262744,-7.142064735280571,-7.16,0.05,2.39,9.97,2.87,4.92,4.37
57661.49996527778,-7.212539525481585,-7.11975822410452,-7.161150909262744,-7.17,0.05,2.4,2.39,9.97,2.42,0.04
57668.49996527778,-7.17134010346468,-7.212539525481585,-7.11975822410452,-7.18,0.02,2.46,2.4,2.39,2.43,0.03
57857.4999537037,-7.168770306132937,-7.17134010346468,-7.212539525481585,-7.17,0.0,2.43,2.46,2.4,2.51,0.12
57934.4999537037,-7.175223537524454,-7.168770306132937,-7.17134010346468,-7.18,0.02,2.65,2.43,2.46,4.13,2.76
58277.4999537037,-7.209011524911184,-7.175223537524454,-7.168770306132937,-7.21,0.04,7.31,2.65,2.43,4.66,2.4
58424.4999537037,-7.2549252084179425,-7.209011524911184,-7.175223537524454,-7.17,0.12,4.01,7.31,2.65,5.07,1.94
58781.4999537037,-7.031984286006359,-7.2549252084179425,-7.209011524911184,-7.15,0.11,3.88,4.01,7.31,3.63,0.54
59075.4999537037,-7.171984935776023,-7.031984286006359,-7.2549252084179425,-7.14,0.1,3.01,3.88,4.01,4.35,1.63
59089.4999537037,-7.229884705212898,-7.171984935776023,-7.031984286006359,-7.15,0.09,6.16,3.01,3.88,4.74,1.6
59187.4999537037,-7.053056729302175,-7.229884705212898,-7.171984935776023,-7.13,0.09,5.05,6.16,3.01,4.96,1.25
60384.4999537037,-7.095284454721319,-7.053056729302175,-7.229884705212898,-7.07,0.02,3.66,5.05,6.16,4.04,0.89
60433.4999537037,-7.060480747381382,-7.095284454721319,-7.053056729302175,-7.12,0.07,3.4,3.66,5.05,3.34,0.35
60692.4999537037,-7.1944991418416,-7.060480747381382,-7.095284454721319,-7.07,0.12,2.96,3.4,3.66,4.13,1.65
